date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:22:12	487/487	---MCZ	200	added ('OK')	text/plain	etag:cacheable:7bc5f22eb613123f7bf40741a80dc705	https://mefit-demo.myshopify.com/robots.txt		(from )
18:22:14	194226/194226	---MCZ	200	added ('OK')	text/html	etag:cacheable:8b12407ea3516f4abad73d7751e3b770	https://mefit-demo.myshopify.com/	C:/My%20Web%20Sites/tm/mefit-demo.myshopify.com/index.html	(from )
18:22:14	326/326	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Apr%202021%2014:04:55%20GMT	http://cdn.shopify.com/s/files/1/0107/4973/9108/t/3/assets/favicon.png?v=6210996998251009108	C:/My%20Web%20Sites/tm/cdn.shopify.com/s/files/1/0107/4973/9108/t/3/assets/favicon6660.png	(from https://mefit-demo.myshopify.com/)
18:22:14	1428/1428	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Apr%202021%2010:29:55%20GMT	http://cdn.shopify.com/s/files/1/0107/4973/9108/t/3/assets/logo.png?v=18319398904811693818	C:/My%20Web%20Sites/tm/cdn.shopify.com/s/files/1/0107/4973/9108/t/3/assets/logo4cea.png	(from https://mefit-demo.myshopify.com/)
18:22:15	518148/518148	---M-Z	200	added ('OK')	text/css	date:Mon,%2005%20Apr%202021%2010:44:23%20GMT	http://cdn.shopify.com/s/files/1/0107/4973/9108/t/3/assets/frame.scss.css?v=11672720466322252947	C:/My%20Web%20Sites/tm/cdn.shopify.com/s/files/1/0107/4973/9108/t/3/assets/frame.scss4d87.css	(from https://mefit-demo.myshopify.com/)
18:22:17	56752/56752	---M-Z	200	added ('OK')	text/css	date:Fri,%2024%20Jan%202020%2006:07:29%20GMT	http://cdn.shopify.com/s/files/1/0107/4973/9108/t/3/assets/style.css?v=15994827691748118740	C:/My%20Web%20Sites/tm/cdn.shopify.com/s/files/1/0107/4973/9108/t/3/assets/style4266.css	(from https://mefit-demo.myshopify.com/)
18:22:17	2576/2576	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Jul%202020%2010:16:44%20GMT	http://cdn.shopify.com/s/files/1/0107/4973/9108/t/3/assets/slick-theme.css?v=1113313973389979587	C:/My%20Web%20Sites/tm/cdn.shopify.com/s/files/1/0107/4973/9108/t/3/assets/slick-theme6c41.css	(from https://mefit-demo.myshopify.com/)
18:22:17	5316/5316	---M-Z	200	added ('OK')	text/css	date:Sat,%2010%20Apr%202021%2000:18:16%20GMT	http://cdn.shopify.com/s/files/1/0107/4973/9108/t/3/assets/slick.scss.css?v=11449955067392689906	C:/My%20Web%20Sites/tm/cdn.shopify.com/s/files/1/0107/4973/9108/t/3/assets/slick.scssec31.css	(from https://mefit-demo.myshopify.com/)
18:22:18	1435/1435	---M-Z	200	added ('OK')	text/css	date:Fri,%2024%20Jan%202020%2006:06:57%20GMT	http://cdn.shopify.com/s/files/1/0107/4973/9108/t/3/assets/slick-slider.css?v=12984568164619329555	C:/My%20Web%20Sites/tm/cdn.shopify.com/s/files/1/0107/4973/9108/t/3/assets/slick-slidera9ca.css	(from https://mefit-demo.myshopify.com/)
18:22:18	23848/23848	---M-Z	200	added ('OK')	text/css	date:Fri,%2024%20Jan%202020%2006:06:14%20GMT	http://cdn.shopify.com/s/files/1/0107/4973/9108/t/3/assets/animate.css?v=17046942425478865338	C:/My%20Web%20Sites/tm/cdn.shopify.com/s/files/1/0107/4973/9108/t/3/assets/animatea14e.css	(from https://mefit-demo.myshopify.com/)
18:22:18	54762/54762	---M-Z	200	added ('OK')	text/css	date:Fri,%2024%20Jan%202020%2006:06:30%20GMT	http://cdn.shopify.com/s/files/1/0107/4973/9108/t/3/assets/font-all.min.css?v=15722457319706631789	C:/My%20Web%20Sites/tm/cdn.shopify.com/s/files/1/0107/4973/9108/t/3/assets/font-all.min373a.css	(from https://mefit-demo.myshopify.com/)
18:22:19	94536/94536	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:9eba4af83bdbe2b8b07827a9cebe2eb6	https://mefit-demo.myshopify.com/POST	C:/My%20Web%20Sites/tm/mefit-demo.myshopify.com/POST	(from https://mefit-demo.myshopify.com/)
18:22:19	1454/1454	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2004%20Nov%202020%2021:24:50%20GMT	https://cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.1/index.js	C:/My%20Web%20Sites/tm/cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.1/index.js	(from https://mefit-demo.myshopify.com/)
18:22:20	9535/9535	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2010%20Feb%202021%2016:11:35%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-d8a6f1446d67009c524ed4e68648800ba9082eb75548ee28e1050331cbe7ba28.js	C:/My%20Web%20Sites/tm/cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-d8a6f1446d67009c524ed4e68648800ba9082eb75548ee28e1050331cbe7ba28.js	(from https://mefit-demo.myshopify.com/)
18:22:20	15/15	---M-Z	200	added ('OK')	text/css	date:Fri,%2024%20Jan%202020%2006:07:28%20GMT	http://cdn.shopify.com/s/files/1/0107/4973/9108/t/3/compiled_assets/styles.css?19511	C:/My%20Web%20Sites/tm/cdn.shopify.com/s/files/1/0107/4973/9108/t/3/compiled_assets/stylesd66f.css	(from https://mefit-demo.myshopify.com/)
